year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2018,9,8,SMU,TCU,H,12,42,NA,2
2018,9,8,ALA,ARKST,H,57,7,NA,2
2018,9,8,SC,UGA,H,17,41,NA,2
2018,9,8,OSU,RUTG,H,52,3,NA,2
2018,9,8,WIS,UNM,H,45,14,NA,2
2018,9,8,OKLA,UCLA,H,49,21,NA,2
2018,9,8,ND,BALL,H,24,16,NA,2
2018,9,8,WASH,UND,H,45,3,NA,2
2018,9,8,VT,W&M,H,62,17,NA,2
2018,9,8,WVU,YSU,H,52,17,NA,2
2018,9,8,KSU,MSST,H,10,31,NA,2
2018,9,8,UCF,SCST,H,38,0,NA,2
2018,9,8,MICH,WMU,H,49,3,NA,2
2018,9,8,MIAMI,SAV,H,77,0,NA,2
2018,9,8,ORE,PRST,H,62,14,NA,2
2018,9,8,WAKE,TOWS,H,51,20,NA,2
2018,9,8,PUR,EMU,H,19,20,NA,2
2018,9,8,ARMY,LIB,H,38,14,NA,2
2018,9,8,VAN,NEV,H,41,10,NA,2
2018,9,8,HOU,ARIZ,H,45,18,NA,2
2018,9,8,NW,DUKE,H,7,21,NA,2
2018,9,8,USF,GT,H,49,38,NA,2
2018,9,8,NCST,GAST,H,41,7,NA,2
2018,9,8,BC,HC,H,62,14,NA,2
2018,9,8,FAU,AFA,H,33,27,NA,2
2018,9,8,CMU,KU,H,7,31,NA,2
2018,9,8,NEB,COLO,H,28,33,NA,2
2018,9,8,TEM,BUFF,H,29,36,NA,2
2018,9,8,NAVY,MEM,H,22,21,NA,2
2018,9,8,ECU,UNC,H,41,19,NA,2
2018,9,8,SYR,WAG,H,62,10,NA,2
2018,9,8,KENT,HOW,H,54,14,NA,2
2018,9,8,AKRON,MORG,H,41,7,NA,2
2018,9,8,TTU,LAM,H,77,0,NA,2
2018,9,8,MISS,SIU,H,76,41,NA,2
2018,9,8,TENN,ETSU,H,59,3,NA,2
2018,9,8,IOWA,ISU,H,13,3,NA,2
2018,9,8,BGSU,MD,H,14,45,NA,2
2018,9,8,GASO,UMASS,H,34,13,NA,2
2018,9,8,CHAR,APP,H,9,45,NA,2
2018,9,8,MRSH,EKY,H,32,16,NA,2
2018,9,9,TA&M,CLEM,H,26,28,NA,2
2018,9,9,AUB,ALST,H,63,9,NA,2
2018,9,9,STAN,USC,H,17,3,NA,2
2018,9,9,LSU,SELA,H,31,0,NA,2
2018,9,9,PITT,PSU,H,6,51,NA,2
2018,9,9,ASU,MSU,H,16,13,NA,2
2018,9,9,BSU,UCONN,H,62,7,NA,2
2018,9,9,FLA,UK,H,16,27,NA,2
2018,9,9,MTSU,UTM,H,61,37,NA,2
2018,9,9,LT,SOU,H,54,17,NA,2
2018,9,9,USM,ULM,H,20,21,NA,2
2018,9,9,CCU,UAB,H,47,24,NA,2
2018,9,9,UTSA,BAY,H,20,37,NA,2
2018,9,9,LOU,INST,H,31,7,NA,2
2018,9,9,MIZ,WYO,H,40,13,NA,2
2018,9,9,TXST,TXSO,H,36,20,NA,2
2018,9,9,TROY,FAMU,H,59,7,NA,2
2018,9,9,FSU,SAM,H,36,26,NA,2
2018,9,9,ILL,WIU,H,34,14,NA,2
2018,9,9,IND,UVA,H,20,16,NA,2
2018,9,9,CSU,ARK,H,34,27,NA,2
2018,9,9,NIU,UTAH,H,6,17,NA,2
2018,9,9,WKU,MAINE,H,28,31,NA,2
2018,9,9,ODU,FIU,H,20,28,NA,2
2018,9,9,UNT,IW,H,58,16,NA,2
2018,9,9,MINN,FRES,H,21,14,NA,2
2018,9,9,USU,NMSU,H,60,13,NA,2
2018,9,9,OKST,USA,H,55,13,NA,2
2018,9,9,TEX,TLSA,H,28,21,NA,2
2018,9,9,TULN,NICH,H,42,17,NA,2
2018,9,9,ORST,SUU,H,48,25,NA,2
2018,9,9,M-OH,CIN,H,0,21,NA,2
2018,9,9,UNLV,UTEP,H,52,24,NA,2
2018,9,9,SDSU,SAC,H,28,14,NA,2
2018,9,9,BYU,CAL,H,18,21,NA,2
2018,9,9,WSU,SJSU,H,31,0,NA,2
2018,9,9,HAW,RICE,H,43,29,NA,2
2018,9,8,TCU,SMU,V,42,12,NA,2
2018,9,8,ARKST,ALA,V,7,57,NA,2
2018,9,8,UGA,SC,V,41,17,NA,2
2018,9,8,RUTG,OSU,V,3,52,NA,2
2018,9,8,UNM,WIS,V,14,45,NA,2
2018,9,8,UCLA,OKLA,V,21,49,NA,2
2018,9,8,BALL,ND,V,16,24,NA,2
2018,9,8,UND,WASH,V,3,45,NA,2
2018,9,8,W&M,VT,V,17,62,NA,2
2018,9,8,YSU,WVU,V,17,52,NA,2
2018,9,8,MSST,KSU,V,31,10,NA,2
2018,9,8,SCST,UCF,V,0,38,NA,2
