year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2018,8,25,UMASS,DUQ,H,63,15,NA,2
2018,8,26,RICE,PVAM,H,31,28,NA,2
2018,8,26,CSU,HAW,H,34,43,NA,2
2018,8,26,NMSU,WYO,H,7,29,NA,2
2018,8,31,UCONN,UCF,H,17,56,NA,2
2018,8,31,MINN,NMSU,H,48,10,NA,2
2018,8,31,BALL,CCSU,H,42,6,NA,2
2018,8,31,GAST,KENN,H,24,20,NA,2
2018,8,31,ULM,SELA,H,34,31,NA,2
2018,8,31,PUR,NW,H,27,31,NA,2
2018,8,31,TULN,WAKE,H,17,23,1,2
2018,8,31,UAB,SAV,H,52,0,NA,2
2018,8,31,OKST,MOST,H,58,17,NA,2
2018,8,31,UTAH,WEB,H,41,10,NA,2
2018,8,31,TA&M,NWST,H,59,7,NA,2
2018,8,31,SJSU,UCD,H,38,44,NA,2
2018,8,31,WMU,SYR,H,42,55,NA,2
2018,8,31,EMU,MONM,H,51,17,NA,2
2018,8,31,WIS,WKU,H,34,3,NA,2
2018,8,31,MSU,USU,H,38,31,NA,2
2018,8,31,STAN,SDSU,H,31,10,NA,2
2018,8,31,DUKE,ARMY,H,34,14,NA,2
2018,8,31,NEV,PRST,H,72,19,NA,2
2018,8,31,CSU,COLO,H,13,45,NA,2
2018,8,31,CLEM,FUR,H,48,7,NA,2
2018,8,31,UGA,PEAY,H,45,0,NA,2
2018,8,31,OSU,ORST,H,77,31,NA,2
2018,8,31,AUB,WASH,H,21,16,NA,2
2018,8,31,OKLA,FAU,H,63,14,NA,2
2018,8,31,PSU,APP,H,45,38,1,2
2018,8,31,USC,UNLV,H,43,21,NA,2
2018,8,31,TCU,SOU,H,55,7,NA,2
2018,8,31,TENN,WVU,H,14,40,NA,2
2018,8,31,TROY,BSU,H,20,56,NA,2
2018,8,31,MD,TEX,H,34,29,NA,2
2018,8,31,ILL,KENT,H,31,24,NA,2
2018,8,31,RUTG,TXST,H,35,7,NA,2
2018,8,31,SC,CCU,H,49,15,NA,2
2018,8,31,TTU,MISS,H,27,47,NA,2
2018,8,31,NCST,JMU,H,24,13,NA,2
2018,8,31,TEM,NOVA,H,17,19,NA,2
2018,8,31,RICE,HOU,H,27,45,NA,2
2018,8,31,GT,ALCN,H,41,0,NA,2
2018,8,31,BC,UMASS,H,55,21,NA,2
2018,8,31,AFA,STON,H,38,0,NA,2
2018,8,31,OHIO,HOW,H,38,32,NA,2
2018,8,31,PITT,ALBY,H,33,7,NA,2
2018,8,31,UK,CMU,H,35,20,NA,2
2018,8,31,WYO,WSU,H,19,41,NA,2
2018,8,31,IOWA,NIU,H,33,7,NA,2
2018,8,31,CAL,UNC,H,24,17,NA,2
2018,8,31,MIZ,UTM,H,51,14,NA,2
2018,8,31,ARK,EIU,H,55,20,NA,2
2018,8,31,UVA,RICH,H,42,13,NA,2
2018,8,31,M-OH,MRSH,H,28,35,NA,2
2018,8,31,LIB,ODU,H,52,10,NA,2
2018,8,31,CHAR,FOR,H,34,10,NA,2
2018,8,31,USF,ELON,H,34,14,NA,2
2018,8,31,BUFF,DSU,H,48,10,NA,2
2018,8,31,GASO,SCST,H,37,6,NA,2
2018,8,31,ALA,LOU,H,51,14,NA,2
2018,8,31,ND,MICH,H,24,17,NA,2
2018,8,31,MSST,SFA,H,63,6,NA,2
2018,8,31,ORE,BGSU,H,58,24,NA,2
2018,8,31,ULL,GRAM,H,49,17,NA,2
2018,8,31,TOL,VMI,H,66,3,NA,2
2018,8,31,ARKST,SEMO,H,48,21,NA,2
2018,8,31,MEM,MER,H,66,14,NA,2
2018,8,31,TLSA,UCA,H,38,27,NA,2
2018,8,31,USA,LT,H,26,30,NA,2
2018,8,31,USM,JKST,H,55,7,NA,2
2018,8,31,UCLA,CIN,H,17,26,NA,2
2018,8,31,FIU,IND,H,28,38,NA,2
2018,8,31,KU,NICH,H,23,26,1,2
2018,8,31,KSU,SDAK,H,27,24,NA,2
2018,8,31,FLA,CHSO,H,53,6,NA,2
2018,8,31,VAN,MTSU,H,35,7,NA,2
2018,8,31,UNT,SMU,H,46,23,NA,2
2018,8,31,UTEP,NAU,H,10,30,NA,2
2018,8,31,BAY,ACU,H,55,27,NA,2
2018,8,31,UNM,IW,H,62,30,NA,2
2018,8,31,FRES,IDAHO,H,79,13,NA,2
2018,8,31,ASU,UTSA,H,49,7,NA,2
2018,8,31,ARIZ,BYU,H,23,28,NA,2
2018,8,31,HAW,NAVY,H,59,41,NA,2
2018,8,31,ECU,NCAT,H,23,28,NA,2
2018,8,31,LSU,MIAMI,H,33,17,NA,2
2018,8,31,FSU,VT,H,3,24,NA,2
2018,8,25,DUQ,UMASS,V,15,63,NA,2
2018,8,26,PVAM,RICE,V,28,31,NA,2
2018,8,26,HAW,CSU,V,43,34,NA,2
2018,8,26,WYO,NMSU,V,29,7,NA,2
2018,8,31,UCF,UCONN,V,56,17,NA,2
2018,8,31,NMSU,MINN,V,10,48,NA,2
2018,8,31,CCSU,BALL,V,6,42,NA,2
2018,8,31,KENN,GAST,V,20,24,NA,2
2018,8,31,SELA,ULM,V,31,34,NA,2
2018,8,31,NW,PUR,V,31,27,NA,2
2018,8,31,WAKE,TULN,V,23,17,1,2
2018,8,31,SAV,UAB,V,0,52,NA,2
2018,8,31,MOST,OKST,V,17,58,NA,2
2018,8,31,WEB,UTAH,V,10,41,NA,2
2018,8,31,NWST,TA&M,V,7,59,NA,2
2018,8,31,UCD,SJSU,V,44,38,NA,2
2018,8,31,SYR,WMU,V,55,42,NA,2
2018,8,31,MONM,EMU,V,17,51,NA,2
2018,8,31,WKU,WIS,V,3,34,NA,2
2018,8,31,USU,MSU,V,31,38,NA,2
2018,8,31,SDSU,STAN,V,10,31,NA,2
2018,8,31,ARMY,DUKE,V,14,34,NA,2
2018,8,31,PRST,NEV,V,19,72,NA,2
2018,8,31,COLO,CSU,V,45,13,NA,2
2018,8,31,FUR,CLEM,V,7,48,NA,2
2018,8,31,PEAY,UGA,V,0,45,NA,2
2018,8,31,ORST,OSU,V,31,77,NA,2
2018,8,31,WASH,AUB,V,16,21,NA,2
2018,8,31,FAU,OKLA,V,14,63,NA,2
2018,8,31,APP,PSU,V,38,45,1,2
2018,8,31,UNLV,USC,V,21,43,NA,2
2018,8,31,SOU,TCU,V,7,55,NA,2
2018,8,31,WVU,TENN,V,40,14,NA,2
2018,8,31,BSU,TROY,V,56,20,NA,2
2018,8,31,TEX,MD,V,29,34,NA,2
2018,8,31,KENT,ILL,V,24,31,NA,2
2018,8,31,TXST,RUTG,V,7,35,NA,2
2018,8,31,CCU,SC,V,15,49,NA,2
2018,8,31,MISS,TTU,V,47,27,NA,2
2018,8,31,JMU,NCST,V,13,24,NA,2
2018,8,31,NOVA,TEM,V,19,17,NA,2
2018,8,31,HOU,RICE,V,45,27,NA,2
2018,8,31,ALCN,GT,V,0,41,NA,2
2018,8,31,UMASS,BC,V,21,55,NA,2
2018,8,31,STON,AFA,V,0,38,NA,2
2018,8,31,HOW,OHIO,V,32,38,NA,2
2018,8,31,ALBY,PITT,V,7,33,NA,2
2018,8,31,CMU,UK,V,20,35,NA,2
2018,8,31,WSU,WYO,V,41,19,NA,2
2018,8,31,NIU,IOWA,V,7,33,NA,2
2018,8,31,UNC,CAL,V,17,24,NA,2
2018,8,31,UTM,MIZ,V,14,51,NA,2
2018,8,31,EIU,ARK,V,20,55,NA,2
2018,8,31,RICH,UVA,V,13,42,NA,2
2018,8,31,MRSH,M-OH,V,35,28,NA,2
2018,8,31,ODU,LIB,V,10,52,NA,2
2018,8,31,FOR,CHAR,V,10,34,NA,2
2018,8,31,ELON,USF,V,14,34,NA,2
2018,8,31,DSU,BUFF,V,10,48,NA,2
2018,8,31,SCST,GASO,V,6,37,NA,2
2018,8,31,LOU,ALA,V,14,51,NA,2
2018,8,31,MICH,ND,V,17,24,NA,2
2018,8,31,SFA,MSST,V,6,63,NA,2
2018,8,31,BGSU,ORE,V,24,58,NA,2
2018,8,31,GRAM,ULL,V,17,49,NA,2
2018,8,31,VMI,TOL,V,3,66,NA,2
2018,8,31,SEMO,ARKST,V,21,48,NA,2
2018,8,31,MER,MEM,V,14,66,NA,2
2018,8,31,UCA,TLSA,V,27,38,NA,2
2018,8,31,LT,USA,V,30,26,NA,2
2018,8,31,JKST,USM,V,7,55,NA,2
2018,8,31,CIN,UCLA,V,26,17,NA,2
2018,8,31,IND,FIU,V,38,28,NA,2
2018,8,31,NICH,KU,V,26,23,1,2
2018,8,31,SDAK,KSU,V,24,27,NA,2
2018,8,31,CHSO,FLA,V,6,53,NA,2
2018,8,31,MTSU,VAN,V,7,35,NA,2
2018,8,31,SMU,UNT,V,23,46,NA,2
2018,8,31,NAU,UTEP,V,30,10,NA,2
2018,8,31,ACU,BAY,V,27,55,NA,2
2018,8,31,IW,UNM,V,30,62,NA,2
2018,8,31,IDAHO,FRES,V,13,79,NA,2
2018,8,31,UTSA,ASU,V,7,49,NA,2
2018,8,31,BYU,ARIZ,V,28,23,NA,2
2018,8,31,NAVY,HAW,V,41,59,NA,2
2018,8,31,NCAT,ECU,V,28,23,NA,2
2018,8,31,MIAMI,LSU,V,17,33,NA,2
2018,8,31,VT,FSU,V,24,3,NA,2
