year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2018,9,28,MIAMI,UNC,H,47,10,NA,2
2018,9,29,TULN,MEM,H,40,24,NA,2
2018,9,29,COLO,UCLA,H,38,16,NA,2
2018,9,29,ALA,ULL,H,56,14,NA,2
2018,9,29,UGA,TENN,H,38,12,NA,2
2018,9,29,CLEM,SYR,H,27,23,NA,2
2018,9,29,OKLA,BAY,H,66,33,NA,2
2018,9,29,AUB,USM,H,24,13,NA,2
2018,9,29,TTU,WVU,H,34,42,NA,2
2018,9,29,UCF,PITT,H,45,14,NA,2
2018,9,29,NW,MICH,H,17,20,NA,2
2018,9,29,KSU,TEX,H,14,19,NA,2
2018,9,29,MSU,CMU,H,31,20,NA,2
2018,9,29,MSST,FLA,H,6,13,NA,2
2018,9,29,TA&M,ARK,H,24,17,NA,2
2018,9,29,RUTG,IND,H,17,24,NA,2
2018,9,29,BUFF,ARMY,H,13,42,NA,2
2018,9,29,KU,OKST,H,28,48,NA,2
2018,9,29,BC,TEM,H,45,35,NA,2
2018,9,29,GT,BGSU,H,63,17,NA,2
2018,9,29,NCST,UVA,H,35,21,NA,2
2018,9,29,OHIO,UMASS,H,58,42,NA,2
2018,9,29,GAST,ULM,H,46,14,NA,2
2018,9,29,BALL,KENT,H,52,24,NA,2
2018,9,29,UCONN,CIN,H,7,49,NA,2
2018,9,29,ECU,ODU,H,37,35,NA,2
2018,9,29,TROY,CCU,H,45,21,NA,2
2018,9,29,M-OH,WMU,H,39,40,NA,2
2018,9,29,APP,USA,H,52,7,NA,2
2018,9,29,WAKE,RICE,H,56,24,NA,2
2018,9,29,NEB,PUR,H,28,42,NA,2
2018,9,29,LOU,FSU,H,24,28,NA,2
2018,9,29,VAN,TNST,H,31,27,NA,2
2018,9,29,AFA,NEV,H,25,28,NA,2
2018,9,29,WSU,UTAH,H,28,24,NA,2
2018,9,29,UNM,LIB,H,43,52,NA,2
2018,9,29,GASO,ARKST,H,28,21,NA,2
2018,9,29,EMU,NIU,H,23,26,3,2
2018,9,30,PSU,OSU,H,26,27,NA,2
2018,9,30,LSU,MISS,H,45,16,NA,2
2018,9,30,ND,STAN,H,38,17,NA,2
2018,9,30,WASH,BYU,H,35,7,NA,2
2018,9,30,UK,SC,H,24,10,NA,2
2018,9,30,CAL,ORE,H,24,42,NA,2
2018,9,30,DUKE,VT,H,14,31,NA,2
2018,9,30,SMU,HBU,H,63,27,NA,2
2018,9,30,UTSA,UTEP,H,30,21,NA,2
2018,9,30,MTSU,FAU,H,25,24,NA,2
2018,9,30,WYO,BSU,H,14,34,NA,2
2018,9,30,SJSU,HAW,H,41,44,5,2
2018,9,30,UAB,CHAR,H,28,7,NA,2
2018,9,30,TCU,ISU,H,17,14,NA,2
2018,9,30,FIU,UAPB,H,55,9,NA,2
2018,9,30,UNT,LT,H,27,29,NA,2
2018,9,30,WKU,MRSH,H,17,20,NA,2
2018,9,30,ASU,ORST,H,52,24,NA,2
2018,9,30,ARIZ,USC,H,20,24,NA,2
2018,9,30,FRES,TOL,H,49,27,NA,2
2018,9,28,UNC,MIAMI,V,10,47,NA,2
2018,9,29,MEM,TULN,V,24,40,NA,2
2018,9,29,UCLA,COLO,V,16,38,NA,2
2018,9,29,ULL,ALA,V,14,56,NA,2
2018,9,29,TENN,UGA,V,12,38,NA,2
2018,9,29,SYR,CLEM,V,23,27,NA,2
2018,9,29,BAY,OKLA,V,33,66,NA,2
2018,9,29,USM,AUB,V,13,24,NA,2
2018,9,29,WVU,TTU,V,42,34,NA,2
2018,9,29,PITT,UCF,V,14,45,NA,2
2018,9,29,MICH,NW,V,20,17,NA,2
2018,9,29,TEX,KSU,V,19,14,NA,2
2018,9,29,CMU,MSU,V,20,31,NA,2
2018,9,29,FLA,MSST,V,13,6,NA,2
2018,9,29,ARK,TA&M,V,17,24,NA,2
2018,9,29,IND,RUTG,V,24,17,NA,2
2018,9,29,ARMY,BUFF,V,42,13,NA,2
2018,9,29,OKST,KU,V,48,28,NA,2
2018,9,29,TEM,BC,V,35,45,NA,2
2018,9,29,BGSU,GT,V,17,63,NA,2
2018,9,29,UVA,NCST,V,21,35,NA,2
2018,9,29,UMASS,OHIO,V,42,58,NA,2
2018,9,29,ULM,GAST,V,14,46,NA,2
2018,9,29,KENT,BALL,V,24,52,NA,2
2018,9,29,CIN,UCONN,V,49,7,NA,2
2018,9,29,ODU,ECU,V,35,37,NA,2
2018,9,29,CCU,TROY,V,21,45,NA,2
2018,9,29,WMU,M-OH,V,40,39,NA,2
2018,9,29,USA,APP,V,7,52,NA,2
2018,9,29,RICE,WAKE,V,24,56,NA,2
2018,9,29,PUR,NEB,V,42,28,NA,2
2018,9,29,FSU,LOU,V,28,24,NA,2
2018,9,29,TNST,VAN,V,27,31,NA,2
2018,9,29,NEV,AFA,V,28,25,NA,2
2018,9,29,UTAH,WSU,V,24,28,NA,2
2018,9,29,LIB,UNM,V,52,43,NA,2
2018,9,29,ARKST,GASO,V,21,28,NA,2
2018,9,29,NIU,EMU,V,26,23,3,2
2018,9,30,OSU,PSU,V,27,26,NA,2
2018,9,30,MISS,LSU,V,16,45,NA,2
2018,9,30,STAN,ND,V,17,38,NA,2
2018,9,30,BYU,WASH,V,7,35,NA,2
2018,9,30,SC,UK,V,10,24,NA,2
2018,9,30,ORE,CAL,V,42,24,NA,2
2018,9,30,VT,DUKE,V,31,14,NA,2
