Alabama A&M,Cincinnati
Abilene Christian,Baylor
Air Force,Stony Brook
Air Force,Fla. Atlantic
Air Force,Utah St.
Air Force,Nevada
Air Force,Navy
Air Force,South Dakota St.
Air Force,Colorado St.
Air Force,Wyoming
Air Force,New Mexico
Air Force,Army West Point
Air Force,Boise St.
Air Force,UNLV
Akron,Morgan St.
Akron,Iowa St.
Akron,Northwestern
Akron,Miami (OH)
Akron,Buffalo
Akron,0
Akron,Ohio
Akron,Bowling Green
Akron,Eastern Mich.
Akron,Northern Ill.
Akron,Central Mich.
Akron,Kent St.
Alabama,Louisville
Alabama,Arkansas St.
Alabama,Texas A&M
Alabama,Ole Miss
Alabama,Louisiana
Alabama,Arkansas
Alabama,Missouri
Alabama,Georgia
Alabama,Auburn
Alabama,The Citadel
Alabama,Mississippi St.
Alabama,LSU
Alabama,Tennessee
Albany (NY),Pittsburgh
Alcorn,Georgia Tech
Alcorn,New Mexico St.
Alabama St.,Auburn
Alabama St.,South Ala.
Appalachian St.,Penn St.
Appalachian St.,Charlotte
Appalachian St.,Gardner-Webb
Appalachian St.,South Ala.
Appalachian St.,Arkansas St.
Appalachian St.,Louisiana
Appalachian St.,Troy
Appalachian St.,Georgia St.
Appalachian St.,Texas St.
Appalachian St.,Coastal Carolina
Appalachian St.,Ga. Southern
Appalachian St.,Louisiana
Arizona,BYU
Arizona,Houston
Arizona,Oregon St.
Arizona,Southern Utah
Arizona,South Carolina
Arizona,California
Arizona,Utah
Arizona,Arizona St.
Arizona,Washington St.
Arizona,Colorado
Arizona,Oregon
Arizona,UCLA
Arkansas,Eastern Ill.
Arkansas,Colorado St.
Arkansas,Auburn
Arkansas,North Texas
Arkansas,Texas A&M
Arkansas,Alabama
Arkansas,Ole Miss
Arkansas,Missouri
Arkansas,Mississippi St.
Arkansas,LSU
Arkansas,Vanderbilt
Arkansas,Tulsa
Arkansas St.,Southeast Mo. St.
Arkansas St.,Alabama
Arkansas St.,UNLV
Arkansas St.,Tulsa
Arkansas St.,Ga. Southern
Arkansas St.,Appalachian St.
Arkansas St.,Texas St.
Arkansas St.,La.-Monroe
Arkansas St.,Coastal Carolina
Arkansas St.,South Ala.
Arkansas St.,Louisiana
Arkansas St.,Georgia St.
Army West Point,Duke
Army West Point,Liberty
Army West Point,Oklahoma
Army West Point,Hawaii
Army West Point,Buffalo
Army West Point,San Jose St.
Army West Point,Colgate
Army West Point,Lafayette
Army West Point,Air Force
Army West Point,Eastern Mich.
Army West Point,Miami (OH)
Army West Point,Navy
Arizona St.,UTSA
Arizona St.,Michigan St.
Arizona St.,Washington
Arizona St.,South Dakota St.
Arizona St.,Oregon St.
Arizona St.,Colorado
Arizona St.,Arizona
Arizona St.,Oregon
Arizona St.,UCLA
Arizona St.,Utah
Arizona St.,South Carolina
Arizona St.,Stanford
Auburn,Washington
Auburn,Alabama St.
Auburn,Arkansas
Auburn,LSU
Auburn,Southern Miss.
Auburn,Mississippi St.
Auburn,Tennessee
Auburn,Alabama
Auburn,Liberty
Auburn,Georgia
Auburn,Texas A&M
Auburn,Ole Miss
Ball St.,Central Conn. St.
Ball St.,Notre Dame
Ball St.,Western Ky.
Ball St.,Indiana
Ball St.,Kent St.
Ball St.,Northern Ill.
Ball St.,Central Mich.
Ball St.,Miami (OH)
Ball St.,Western Mich.
Ball St.,Toledo
Ball St.,Ohio
Ball St.,Eastern Mich.
Baylor,Abilene Christian
Baylor,UTSA
Baylor,Kansas
Baylor,Duke
Baylor,Oklahoma
Baylor,Kansas St.
Baylor,Texas
Baylor,Texas Tech
Baylor,TCU
Baylor,Iowa St.
Baylor,Oklahoma St.
Baylor,West Virginia
Boston College,0
Boston College,Holy Cross
Boston College,Purdue
Boston College,Wake Forest
Boston College,Temple
Boston College,North Carolina St.
Boston College,Louisville
Boston College,Syracuse
Boston College,Florida St.
Boston College,Clemson
Boston College,Virginia Tech
Boston College,Miami (FL)
Bethune-Cookman,Fla. Atlantic
Bethune-Cookman,Nebraska
Bowling Green,Oregon
Bowling Green,Maryland
Bowling Green,Miami (OH)
Bowling Green,Eastern Ky.
