Florida A&M,Texas Southern
BYU,Portland St.
Jacksonville St.,Chattanooga
Cal Poly,Colgate
Morehead St.,0
Wagner,0
Wake Forest,Presbyterian
Cincinnati,Austin Peay
Georgia St.,Tennessee St.
Samford,Kennesaw St.
Delaware,Delaware St.
New Hampshire,Maine
Tennessee Tech,Western Ill.
Indiana St.,Eastern Ill.
Toledo,Elon
Central Mich.,Rhode Island
UT Martin,0
Mercer,Jacksonville
Murray St.,0
Campbell,0
0,Holy Cross
Utah,North Dakota
Arkansas,Florida A&M
South Dakota St.,Duquesne
Nicholls St.,McNeese
Idaho St.,0
0,Sacramento St.
Army West Point,Fordham
Syracuse,Central Conn. St.
Sam Houston St.,Richmond
Miami (FL),Bethune-Cookman
South Fla.,Stony Brook
Missouri,Missouri St.
Saint Francis (PA),0
Robert Morris,Dayton
Lehigh,Villanova
Pittsburgh,Youngstown St.
Oregon St.,Portland St.
Air Force,VMI
Montana,Valparaiso
Monmouth,Lafayette
Bryant,Mercer
North Dakota St.,Mississippi Val.
Virginia,William & Mary
0,Alabama A&M
Texas Tech,Eastern Wash.
Mississippi St.,Charleston So.
Northern Colo.,0
San Diego,0
Norfolk St.,0
The Citadel,0
Wofford,Furman
Bucknell,Marist
Gardner-Webb,N.C. A&T
Sacred Heart,Stetson
Towson,Morgan St.
Duke,N.C. Central
East Carolina,James Madison
Old Dominion,Albany (NY)
Kansas St.,Central Ark.
Washington St.,Montana St.
Louisiana Tech,Northwestern St.
North Texas,Lamar University
Western Ky.,Eastern Ky.
Louisiana,Southeastern La.
Texas St.,Houston Baptist
Baylor,Liberty
Kansas,Southeast Mo. St.
Drake,South Dakota
SMU,SFA
Ohio,Hampton
ETSU,0
Alcorn,0
Davidson,0
Ark.-Pine Bluff,0
San Jose St.,Cal Poly
Illinois St.,Butler
Weber St.,0
Tulane,Grambling
New Mexico,Abilene Christian
TCU,Jackson St.
Iowa St.,UNI
Alabama St.,0
Oregon,Southern Utah
South Dakota St.,UC Davis
UNLV,Howard
Fresno St.,Incarnate Word
Arizona,Northern Ariz.
Hawaii,Western Caro.
Southern U.,South Carolina St.
Texas Southern,Florida A&M
Portland St.,BYU
Chattanooga,Jacksonville St.
Colgate,Cal Poly
0,Morehead St.
0,Wagner
Presbyterian,Wake Forest
Austin Peay,Cincinnati
Tennessee St.,Georgia St.
Kennesaw St.,Samford
Delaware St.,Delaware
Maine,New Hampshire
Western Ill.,Tennessee Tech
Eastern Ill.,Indiana St.
Elon,Toledo
Rhode Island,Central Mich.
0,UT Martin
Jacksonville,Mercer
0,Murray St.
0,Campbell
Holy Cross,0
North Dakota,Utah
Florida A&M,Arkansas
Duquesne,South Dakota St.
McNeese,Nicholls St.
0,Idaho St.
Sacramento St.,0
Fordham,Army West Point
Central Conn. St.,Syracuse
Richmond,Sam Houston St.
Bethune-Cookman,Miami (FL)
Stony Brook,South Fla.
Missouri St.,Missouri
