Alabama A&M,0
Alabama A&M,Vanderbilt
Alabama A&M,South Ala.
Abilene Christian,New Mexico
Abilene Christian,Colorado St.
Air Force,VMI
Air Force,Michigan
Air Force,South Dakota St.
Air Force,New Mexico
Air Force,Navy
Air Force,UNLV
Air Force,Nevada
Air Force,Colorado St.
Air Force,Army West Point
Air Force,Wyoming
Air Force,Boise St.
Air Force,Utah St.
Akron,Penn St.
Akron,Ark.-Pine Bluff
Akron,Iowa St.
Akron,Troy
Akron,Bowling Green
Akron,Ball St.
Akron,Western Mich.
Akron,Toledo
Akron,Buffalo
Akron,Miami (OH)
Akron,Ohio
Akron,Kent St.
Akron,Toledo
Alabama,Florida St.
Alabama,Fresno St.
Alabama,Colorado St.
Alabama,Vanderbilt
Alabama,Ole Miss
Alabama,Texas A&M
Alabama,Arkansas
Alabama,Tennessee
Alabama,LSU
Alabama,Mississippi St.
Alabama,Mercer
Alabama,Auburn
Albany (NY),Old Dominion
Alcorn,FIU
Alabama St.,Troy
Appalachian St.,Georgia
Appalachian St.,Savannah St.
Appalachian St.,Texas St.
Appalachian St.,Wake Forest
Appalachian St.,New Mexico St.
Appalachian St.,0
Appalachian St.,Coastal Carolina
Appalachian St.,0
Appalachian St.,La.-Monroe
Appalachian St.,Ga. Southern
Appalachian St.,Georgia St.
Appalachian St.,Louisiana
Arizona,Northern Ariz.
Arizona,Houston
Arizona,UTEP
Arizona,Utah
Arizona,Colorado
Arizona,UCLA
Arizona,California
Arizona,Washington St.
Arizona,South Carolina
Arizona,Oregon St.
Arizona,Oregon
Arizona,Arizona St.
Arkansas,Florida A&M
Arkansas,TCU
Arkansas,Texas A&M
Arkansas,New Mexico St.
Arkansas,0
Arkansas,Alabama
Arkansas,Auburn
Arkansas,Ole Miss
Arkansas,Coastal Carolina
Arkansas,LSU
Arkansas,Mississippi St.
Arkansas,Missouri
Army West Point,Fordham
Army West Point,Buffalo
Army West Point,Ohio St.
Army West Point,Tulane
Army West Point,UTEP
Army West Point,Rice
Army West Point,Eastern Mich.
Army West Point,Temple
Army West Point,Air Force
Army West Point,Duke
Army West Point,North Texas
Army West Point,Navy
0,Nebraska
0,Ark.-Pine Bluff
0,SMU
0,Ga. Southern
0,Coastal Carolina
0,Louisiana
0,New Mexico St.
0,South Ala.
0,Texas St.
0,La.-Monroe
0,Troy
Arizona St.,New Mexico St.
Arizona St.,South Dakota St.
Arizona St.,Texas Tech
Arizona St.,Oregon
Arizona St.,Stanford
Arizona St.,Washington
Arizona St.,Utah
Arizona St.,South Carolina
Arizona St.,Colorado
Arizona St.,UCLA
Arizona St.,Oregon St.
Arizona St.,Arizona
Auburn,Ga. Southern
Auburn,Clemson
Auburn,Mercer
Auburn,Missouri
Auburn,Mississippi St.
Auburn,Ole Miss
Auburn,LSU
Auburn,Arkansas
Auburn,Texas A&M
Auburn,Georgia
Auburn,La.-Monroe
Auburn,Alabama
Auburn,Georgia
Ball St.,Illinois
Ball St.,0
Ball St.,Tennessee Tech
Ball St.,Western Ky.
Ball St.,Western Mich.
Ball St.,0
Ball St.,Central Mich.
Ball St.,Toledo
Ball St.,Eastern Mich.
Ball St.,Northern Ill.
Ball St.,Buffalo
Ball St.,Miami (OH)
Baylor,Liberty
Baylor,UTSA
Baylor,Duke
Baylor,Oklahoma
Baylor,Kansas St.
Baylor,Oklahoma St.
Baylor,West Virginia
Baylor,Texas
Baylor,Kansas
Baylor,Texas Tech
Baylor,Iowa St.
Baylor,TCU
Boston College,Northern Ill.
Boston College,Wake Forest
Boston College,Notre Dame
Boston College,Clemson
Boston College,Central Mich.
Boston College,Virginia Tech
Boston College,Louisville
Boston College,Virginia
Boston College,Florida St.
Boston College,North Carolina St.
Boston College,0
Boston College,Syracuse
Bethune-Cookman,Miami (FL)
Bethune-Cookman,Fla. Atlantic
Bowling Green,Michigan St.
Bowling Green,South Dakota
Bowling Green,Northwestern
Bowling Green,Middle Tenn.
Bowling Green,0
Bowling Green,Miami (OH)
Bowling Green,Ohio
Bowling Green,Northern Ill.
Bowling Green,Kent St.
Bowling Green,Buffalo
Bowling Green,Toledo
Bowling Green,Eastern Mich.
Boise St.,Troy
Boise St.,Washington St.
Boise St.,New Mexico
Boise St.,Virginia
Boise St.,BYU
Boise St.,South Dakota St.
Boise St.,Wyoming
Boise St.,Utah St.
Boise St.,Nevada
Boise St.,Colorado St.
Boise St.,Air Force
Boise St.,Fresno St.
Boise St.,Fresno St.
Buffalo,Minnesota
Buffalo,Army West Point
Buffalo,Colgate
Buffalo,Fla. Atlantic
Buffalo,Kent St.
Buffalo,Western Mich.
Buffalo,Northern Ill.
Buffalo,Miami (OH)
Buffalo,0
Buffalo,Bowling Green
Buffalo,Ball St.
Buffalo,Ohio
BYU,Portland St.
BYU,LSU
BYU,Utah
BYU,Wisconsin
BYU,Utah St.
BYU,Boise St.
BYU,Mississippi St.
BYU,East Carolina
BYU,San Jose St.
BYU,Fresno St.
BYU,UNLV
BYU,0
BYU,Hawaii
California,North Carolina
California,Weber St.
California,Ole Miss
California,South Carolina
California,Oregon
California,Washington
California,Washington St.
California,Arizona
California,Colorado
California,Oregon St.
California,Stanford
California,UCLA
Central Conn. St.,Syracuse
Coastal Carolina,0
Coastal Carolina,0
Coastal Carolina,Western Ill.
Coastal Carolina,La.-Monroe
Coastal Carolina,Georgia St.
Coastal Carolina,0
Coastal Carolina,Appalachian St.
Coastal Carolina,Texas St.
Coastal Carolina,Arkansas
Coastal Carolina,Troy
Coastal Carolina,0
Coastal Carolina,Ga. Southern
Charlotte,Eastern Mich.
Charlotte,Kansas St.
Charlotte,N.C. A&T
Charlotte,Georgia St.
Charlotte,FIU
Charlotte,Marshall
Charlotte,Western Ky.
Charlotte,0
Charlotte,Old Dominion
Charlotte,Middle Tenn.
Charlotte,Southern Miss.
Charlotte,Fla. Atlantic
Chattanooga,LSU
Charleston So.,Mississippi St.
Charleston So.,Indiana
Cincinnati,Austin Peay
Cincinnati,Michigan
Cincinnati,Miami (OH)
Cincinnati,Navy
Cincinnati,Marshall
Cincinnati,UCF
Cincinnati,South Fla.
Cincinnati,SMU
Cincinnati,Tulane
Cincinnati,Temple
Cincinnati,East Carolina
Cincinnati,0
The Citadel,Clemson
Clemson,Kent St.
Clemson,Auburn
Clemson,Louisville
Clemson,Boston College
Clemson,Virginia Tech
Clemson,Wake Forest
Clemson,Syracuse
Clemson,Georgia Tech
Clemson,North Carolina St.
Clemson,Florida St.
Clemson,The Citadel
Clemson,0
Clemson,Miami (FL)
Central Mich.,Rhode Island
Central Mich.,Kansas
Central Mich.,Syracuse
Central Mich.,Miami (OH)
Central Mich.,Boston College
Central Mich.,Ohio
Central Mich.,Toledo
Central Mich.,Ball St.
Central Mich.,Western Mich.
Central Mich.,Eastern Mich.
Central Mich.,Kent St.
Central Mich.,Northern Ill.
Colgate,Buffalo
Colorado,Colorado St.
Colorado,Texas St.
Colorado,Northern Colo.
Colorado,Washington
Colorado,UCLA
Colorado,Arizona
Colorado,Oregon St.
Colorado,Washington St.
Colorado,California
Colorado,Arizona St.
Colorado,South Carolina
Colorado,Utah
0,Holy Cross
0,Virginia
0,East Carolina
0,SMU
0,Memphis
0,Temple
0,Tulsa
0,Missouri
0,South Fla.
0,UCF
0,Boston College
0,Cincinnati
Cal Poly,San Jose St.
Colorado St.,Oregon St.
Colorado St.,Colorado
Colorado St.,Abilene Christian
Colorado St.,Alabama
Colorado St.,Hawaii
Colorado St.,Utah St.
Colorado St.,Nevada
Colorado St.,New Mexico
Colorado St.,Air Force
Colorado St.,Wyoming
Colorado St.,Boise St.
Colorado St.,San Jose St.
Delaware,Virginia Tech
Delaware St.,West Virginia
Delaware St.,Florida St.
Duke,N.C. Central
Duke,Northwestern
Duke,Baylor
Duke,North Carolina
Duke,Miami (FL)
Duke,Virginia
Duke,Florida St.
Duke,Pittsburgh
Duke,Virginia Tech
Duke,Army West Point
Duke,Georgia Tech
Duke,Wake Forest
East Carolina,James Madison
East Carolina,West Virginia
East Carolina,Virginia Tech
East Carolina,0
East Carolina,South Fla.
East Carolina,Temple
East Carolina,UCF
East Carolina,BYU
East Carolina,Houston
East Carolina,Tulane
East Carolina,Cincinnati
East Carolina,Memphis
Eastern Ill.,Northern Ill.
Eastern Ky.,Western Ky.
Eastern Ky.,Kentucky
Elon,Toledo
Eastern Mich.,Charlotte
Eastern Mich.,Rutgers
Eastern Mich.,Ohio
Eastern Mich.,Kentucky
Eastern Mich.,Toledo
Eastern Mich.,Army West Point
Eastern Mich.,Western Mich.
Eastern Mich.,Northern Ill.
Eastern Mich.,Ball St.
Eastern Mich.,Central Mich.
Eastern Mich.,Miami (OH)
Eastern Mich.,Bowling Green
Eastern Wash.,Texas Tech
Florida A&M,Arkansas
Fla. Atlantic,Navy
Fla. Atlantic,Wisconsin
Fla. Atlantic,Bethune-Cookman
Fla. Atlantic,Buffalo
Fla. Atlantic,Middle Tenn.
Fla. Atlantic,Old Dominion
Fla. Atlantic,North Texas
Fla. Atlantic,Western Ky.
Fla. Atlantic,Marshall
Fla. Atlantic,Louisiana Tech
Fla. Atlantic,FIU
Fla. Atlantic,Charlotte
Fla. Atlantic,North Texas
FIU,UCF
FIU,Alcorn
FIU,Rice
FIU,Charlotte
FIU,Middle Tenn.
FIU,Tulane
FIU,Marshall
FIU,UTSA
FIU,Old Dominion
FIU,Fla. Atlantic
FIU,Western Ky.
FIU,0
Florida,Michigan
Florida,Tennessee
Florida,Kentucky
Florida,Vanderbilt
Florida,LSU
Florida,Texas A&M
Florida,Georgia
Florida,Missouri
Florida,0
Florida,0
Florida,Florida St.
Fordham,Army West Point
Fresno St.,Incarnate Word
Fresno St.,Alabama
Fresno St.,Washington
Fresno St.,Nevada
Fresno St.,San Jose St.
Fresno St.,New Mexico
Fresno St.,South Dakota St.
Fresno St.,UNLV
Fresno St.,BYU
Fresno St.,Hawaii
Fresno St.,Wyoming
Fresno St.,Boise St.
Fresno St.,Boise St.
Florida St.,Alabama
Florida St.,North Carolina St.
Florida St.,Wake Forest
Florida St.,Miami (FL)
Florida St.,Duke
Florida St.,Louisville
Florida St.,Boston College
Florida St.,Syracuse
Florida St.,Clemson
Florida St.,Delaware St.
Florida St.,Florida
Florida St.,La.-Monroe
Furman,North Carolina St.
Ga. Southern,Auburn
Ga. Southern,New Hampshire
Ga. Southern,Indiana
Ga. Southern,0
Ga. Southern,New Mexico St.
Ga. Southern,0
Ga. Southern,Troy
Ga. Southern,Georgia St.
Ga. Southern,Appalachian St.
Ga. Southern,South Ala.
Ga. Southern,Louisiana
Ga. Southern,Coastal Carolina
Georgia St.,Tennessee St.
Georgia St.,Penn St.
Georgia St.,Charlotte
Georgia St.,Coastal Carolina
Georgia St.,La.-Monroe
Georgia St.,Troy
Georgia St.,South Ala.
Georgia St.,Ga. Southern
Georgia St.,Texas St.
Georgia St.,Appalachian St.
Georgia St.,0
Grambling,Tulane
Georgia Tech,Tennessee
Georgia Tech,Jacksonville St.
Georgia Tech,Pittsburgh
Georgia Tech,North Carolina
Georgia Tech,Miami (FL)
Georgia Tech,Wake Forest
Georgia Tech,Clemson
Georgia Tech,Virginia
Georgia Tech,Virginia Tech
Georgia Tech,Duke
Georgia Tech,Georgia
Hampton,Ohio
Hawaii,Western Caro.
Hawaii,0
Hawaii,UCLA
Hawaii,Wyoming
Hawaii,Colorado St.
Hawaii,Nevada
Hawaii,San Jose St.
Hawaii,South Dakota St.
Hawaii,UNLV
Hawaii,Fresno St.
Hawaii,Utah St.
Hawaii,BYU
Houston Baptist,Texas St.
Holy Cross,0
Houston,Arizona
Houston,Rice
Houston,Texas Tech
Houston,Temple
Houston,SMU
Houston,Tulsa
Houston,Memphis
Houston,South Fla.
Houston,East Carolina
Houston,Tulane
Houston,Navy
Howard,UNLV
Howard,Kent St.
0,Sacramento St.
0,UNLV
0,Western Mich.
0,South Ala.
0,Louisiana
0,Appalachian St.
0,Missouri
0,La.-Monroe
0,Troy
0,Coastal Carolina
0,New Mexico St.
0,Georgia St.
Idaho St.,Utah St.
Idaho St.,Nevada
Illinois,Ball St.
Illinois,Western Ky.
Illinois,South Fla.
Illinois,Nebraska
Illinois,Iowa
Illinois,Rutgers
Illinois,Minnesota
Illinois,Wisconsin
Illinois,Purdue
Illinois,Indiana
Illinois,Ohio St.
Illinois,Northwestern
Indiana,Ohio St.
Indiana,Virginia
Indiana,Ga. Southern
Indiana,Penn St.
Indiana,Charleston So.
Indiana,Michigan
Indiana,Michigan St.
Indiana,Maryland
Indiana,Wisconsin
Indiana,Illinois
Indiana,Rutgers
Indiana,Purdue
Indiana St.,Tennessee
Iowa,Wyoming
Iowa,Iowa St.
Iowa,North Texas
Iowa,Penn St.
Iowa,Michigan St.
Iowa,Illinois
