year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2017,11,22,EMU,BGSU,H,34,31,NA,2
2017,11,22,AKR,KENT,H,24,14,NA,2
2017,11,22,BALL,M-OH,H,7,28,NA,2
2017,11,24,MSST,MISS,H,28,31,NA,2
2017,11,24,PITT,MIAMI,H,24,14,NA,2
2017,11,24,TCU,BAY,H,45,22,NA,2
2017,11,24,UCF,USF,H,49,42,NA,2
2017,11,24,TOL,WMU,H,37,10,NA,2
2017,11,24,CMU,NIU,H,31,24,NA,2
2017,11,24,HOU,NAVY,H,24,14,NA,2
2017,11,24,BUFF,OHIO,H,31,24,NA,2
2017,11,24,ARK,MIZ,H,45,48,NA,2
2017,11,24,SDSU,UNM,H,35,10,NA,2
2017,11,24,TROY,TXST,H,62,9,NA,2
2017,11,24,NEB,IOWA,H,14,56,NA,2
2017,11,25,UVA,VT,H,0,10,NA,2
2017,11,25,FIU,WKU,H,41,17,NA,2
2017,11,25,TEX,TTU,H,23,27,NA,2
2017,11,25,UCLA,CAL,H,30,27,NA,2
2017,11,25,AUB,ALA,H,26,14,NA,2
2017,11,25,OKLA,WVU,H,59,31,NA,2
2017,11,25,MINN,WIS,H,0,31,NA,2
2017,11,25,GT,UGA,H,7,38,NA,2
2017,11,25,MICH,OSU,H,20,31,NA,2
2017,11,25,MD,PSU,H,3,66,NA,2
2017,11,25,RUTG,MSU,H,7,40,NA,2
2017,11,25,OKST,KU,H,58,17,NA,2
2017,11,25,MEM,ECU,H,70,13,NA,2
2017,11,25,ILL,NW,H,7,42,NA,2
2017,11,25,FRES,BSU,H,28,17,NA,2
2017,11,25,FLA,FSU,H,22,38,NA,2
2017,11,25,UK,LOU,H,17,44,NA,2
2017,11,25,PUR,IND,H,31,24,NA,2
2017,11,25,CIN,CONN,H,22,21,NA,2
2017,11,25,SMU,TULN,H,41,38,NA,2
2017,11,25,SYR,BC,H,14,42,NA,2
2017,11,25,WAKE,DUKE,H,23,31,NA,2
2017,11,25,RICE,UNT,H,14,30,NA,2
2017,11,25,UAB,UTEP,H,28,7,NA,2
2017,11,25,GAST,APP,H,10,31,NA,2
2017,11,25,CHAR,FAU,H,12,31,NA,2
2017,11,25,MRSH,USM,H,27,28,NA,2
2017,11,25,MTSU,ODU,H,41,10,NA,2
2017,11,25,ULM,ARST,H,50,67,NA,2
2017,11,25,NEV,UNLV,H,23,16,NA,2
2017,11,25,NCST,UNC,H,33,21,NA,2
2017,11,25,KSU,ISU,H,20,19,NA,2
2017,11,25,TENN,VAN,H,24,42,NA,2
2017,11,25,TLSA,TEM,H,22,43,NA,2
2017,11,25,NMSU,IDHO,H,17,10,NA,2
2017,11,25,ASU,ARIZ,H,42,30,NA,2
2017,11,25,ULL,GASO,H,24,34,NA,2
2017,11,25,SJSU,WYO,H,20,17,NA,2
2017,11,26,SC,CLEM,H,10,34,NA,2
2017,11,26,STAN,ND,H,38,20,NA,2
2017,11,26,WASH,WSU,H,41,14,NA,2
2017,11,26,LSU,TA&M,H,45,21,NA,2
2017,11,26,ORE,ORST,H,69,10,NA,2
2017,11,26,LT,UTSA,H,20,6,NA,2
2017,11,26,HAW,BYU,H,20,30,NA,2
2017,11,26,UTAH,COLO,H,34,13,NA,2
2017,11,26,AFA,USU,H,38,35,NA,2
2017,11,22,BGSU,EMU,V,31,34,NA,2
2017,11,22,KENT,AKR,V,14,24,NA,2
2017,11,22,M-OH,BALL,V,28,7,NA,2
2017,11,24,MISS,MSST,V,31,28,NA,2
2017,11,24,MIAMI,PITT,V,14,24,NA,2
2017,11,24,BAY,TCU,V,22,45,NA,2
2017,11,24,USF,UCF,V,42,49,NA,2
2017,11,24,WMU,TOL,V,10,37,NA,2
2017,11,24,NIU,CMU,V,24,31,NA,2
2017,11,24,NAVY,HOU,V,14,24,NA,2
2017,11,24,OHIO,BUFF,V,24,31,NA,2
2017,11,24,MIZ,ARK,V,48,45,NA,2
2017,11,24,UNM,SDSU,V,10,35,NA,2
2017,11,24,TXST,TROY,V,9,62,NA,2
2017,11,24,IOWA,NEB,V,56,14,NA,2
2017,11,25,VT,UVA,V,10,0,NA,2
2017,11,25,WKU,FIU,V,17,41,NA,2
2017,11,25,TTU,TEX,V,27,23,NA,2
2017,11,25,CAL,UCLA,V,27,30,NA,2
2017,11,25,ALA,AUB,V,14,26,NA,2
2017,11,25,WVU,OKLA,V,31,59,NA,2
2017,11,25,WIS,MINN,V,31,0,NA,2
2017,11,25,UGA,GT,V,38,7,NA,2
2017,11,25,OSU,MICH,V,31,20,NA,2
2017,11,25,PSU,MD,V,66,3,NA,2
2017,11,25,MSU,RUTG,V,40,7,NA,2
2017,11,25,KU,OKST,V,17,58,NA,2
2017,11,25,ECU,MEM,V,13,70,NA,2
2017,11,25,NW,ILL,V,42,7,NA,2
2017,11,25,BSU,FRES,V,17,28,NA,2
2017,11,25,FSU,FLA,V,38,22,NA,2
2017,11,25,LOU,UK,V,44,17,NA,2
2017,11,25,IND,PUR,V,24,31,NA,2
2017,11,25,CONN,CIN,V,21,22,NA,2
2017,11,25,TULN,SMU,V,38,41,NA,2
2017,11,25,BC,SYR,V,42,14,NA,2
2017,11,25,DUKE,WAKE,V,31,23,NA,2
2017,11,25,UNT,RICE,V,30,14,NA,2
2017,11,25,UTEP,UAB,V,7,28,NA,2
2017,11,25,APP,GAST,V,31,10,NA,2
2017,11,25,FAU,CHAR,V,31,12,NA,2
2017,11,25,USM,MRSH,V,28,27,NA,2
2017,11,25,ODU,MTSU,V,10,41,NA,2
2017,11,25,ARST,ULM,V,67,50,NA,2
