year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2017,9,15,BSU,UNM,H,28,14,NA,2
2017,9,16,USF,ILL,H,47,23,NA,2
2017,9,16,TEM,UMASS,H,29,21,NA,2
2017,9,16,UTEP,ARIZ,H,16,63,NA,2
2017,9,16,OKLA,TULN,H,56,14,NA,2
2017,9,16,MICH,AFA,H,29,13,NA,2
2017,9,16,OSU,ARMY,H,38,7,NA,2
2017,9,16,PITT,OKST,H,21,59,NA,2
2017,9,16,BYU,WIS,H,6,40,NA,2
2017,9,16,AUB,MER,H,24,10,NA,2
2017,9,16,ECU,VT,H,17,64,NA,2
2017,9,16,TCU,SMU,H,56,36,NA,2
2017,9,16,WSU,ORST,H,52,23,NA,2
2017,9,16,FLA,TENN,H,26,20,NA,2
2017,9,16,MEM,UCLA,H,48,45,NA,2
2017,9,16,NEB,NIU,H,17,21,NA,2
2017,9,16,TA&M,ULL,H,45,21,NA,2
2017,9,16,OHIO,KU,H,42,30,NA,2
2017,9,16,WVU,DSU,H,59,16,NA,2
2017,9,16,AKR,ISU,H,14,41,NA,2
2017,9,16,UVA,CONN,H,38,18,NA,2
2017,9,16,NCST,FUR,H,49,16,NA,2
2017,9,16,DUKE,BAY,H,34,20,NA,2
2017,9,16,UAB,CCU,H,30,23,NA,2
2017,9,16,COLO,UNCO,H,41,21,NA,2
2017,9,16,WAKE,USU,H,46,10,NA,2
2017,9,16,BALL,TNTC,H,28,13,NA,2
2017,9,16,SYR,CMU,H,41,17,NA,2
2017,9,16,ODU,UNC,H,23,53,NA,2
2017,9,16,BC,ND,H,20,49,NA,2
2017,9,16,RUTG,MORG,H,65,0,NA,2
2017,9,16,MINN,MTSU,H,34,3,NA,2
2017,9,16,IOWA,UNT,H,31,14,NA,2
2017,9,16,MIZ,PUR,H,3,35,NA,2
2017,9,16,CHAR,NCAT,H,31,35,NA,2
2017,9,16,BUFF,COLG,H,33,10,NA,2
2017,9,16,FAU,BCU,H,45,0,NA,2
2017,9,16,MRSH,KENT,H,21,0,NA,2
2017,9,17,ALA,CSU,H,41,23,NA,2
2017,9,17,LOU,CLEM,H,21,47,NA,2
2017,9,17,USC,TEX,H,27,24,2,2
2017,9,17,PSU,GAST,H,56,0,NA,2
2017,9,17,WASH,FRES,H,48,16,NA,2
2017,9,17,MSST,LSU,H,37,7,NA,2
2017,9,17,UGA,SAM,H,42,14,NA,2
2017,9,17,VAN,KSU,H,14,7,NA,2
2017,9,17,SDSU,STAN,H,20,17,NA,2
2017,9,17,ULM,USM,H,17,28,NA,2
2017,9,17,UTSA,SOU,H,51,17,NA,2
2017,9,17,WKU,LT,H,22,23,NA,2
2017,9,17,WYO,ORE,H,13,49,NA,2
2017,9,17,ARST,UAPB,H,48,3,NA,2
2017,9,17,WMU,IDHO,H,37,28,NA,2
2017,9,17,USA,AAMU,H,45,0,NA,2
2017,9,17,TOL,TLSA,H,54,51,NA,2
2017,9,17,TXST,APP,H,13,20,NA,2
2017,9,17,NEV,IDST,H,28,30,NA,2
2017,9,17,SC,UK,H,13,23,NA,2
2017,9,17,NW,BGSU,H,49,7,NA,2
2017,9,17,HOU,RICE,H,38,3,NA,2
2017,9,17,NMSU,TROY,H,24,27,NA,2
2017,9,17,M-OH,CIN,H,17,21,NA,2
2017,9,17,TTU,ASU,H,52,45,NA,2
2017,9,17,UTAH,SJSU,H,54,16,NA,2
2017,9,17,CAL,MISS,H,27,16,NA,2
2017,9,15,UNM,BSU,V,14,28,NA,2
