year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2017,9,22,USF,TEM,H,43,7,NA,2
2017,9,23,ARIZ,UTAH,H,24,30,NA,2
2017,9,23,BSU,UVA,H,23,42,NA,2
2017,9,23,VAN,ALA,H,0,59,NA,2
2017,9,23,CLEM,BC,H,34,7,NA,2
2017,9,23,BAY,OKLA,H,41,49,NA,2
2017,9,23,CAL,USC,H,20,30,NA,2
2017,9,23,OKST,TCU,H,31,44,NA,2
2017,9,23,PUR,MICH,H,10,28,NA,2
2017,9,23,OSU,UNLV,H,54,21,NA,2
2017,9,23,FSU,NCST,H,21,27,NA,2
2017,9,23,VT,ODU,H,38,0,NA,2
2017,9,23,MIAMI,TOL,H,52,30,NA,2
2017,9,23,WSU,NEV,H,45,7,NA,2
2017,9,23,LOU,KENT,H,42,3,NA,2
2017,9,23,HOU,TTU,H,24,27,NA,2
2017,9,23,TULN,ARMY,H,21,17,NA,2
2017,9,23,ARK,TA&M,H,43,50,1,2
2017,9,23,TENN,UMASS,H,17,13,NA,2
2017,9,23,KU,WVU,H,34,56,NA,2
2017,9,23,GT,PITT,H,35,17,NA,2
2017,9,23,TLSA,UNM,H,13,16,NA,2
2017,9,23,USA,IDHO,H,23,29,2,2
2017,9,23,EMU,OHIO,H,20,27,2,2
2017,9,23,MD,UCF,H,10,38,NA,2
2017,9,23,NEB,RUTG,H,27,17,NA,2
2017,9,23,IND,GASO,H,52,17,NA,2
2017,9,23,APP,WAKE,H,19,20,NA,2
2017,9,23,UNC,DUKE,H,17,27,NA,2
2017,9,23,SC,LT,H,17,16,NA,2
2017,9,23,CMU,M-OH,H,14,31,NA,2
2017,9,23,NAVY,CIN,H,42,32,NA,2
2017,9,23,ULL,ULM,H,50,56,2,2
2017,9,23,TROY,AKR,H,22,17,NA,2
2017,9,23,CHAR,GAST,H,0,28,NA,2
2017,9,23,CCU,WIU,H,10,52,NA,2
2017,9,23,UNT,UAB,H,46,43,NA,2
2017,9,24,IOWA,PSU,H,19,21,NA,2
2017,9,24,COLO,WASH,H,10,37,NA,2
2017,9,24,UGA,MSST,H,31,3,NA,2
2017,9,24,MIZ,AUB,H,14,51,NA,2
2017,9,24,UK,FLA,H,27,28,NA,2
2017,9,24,AFA,SDSU,H,24,28,NA,2
2017,9,24,ASU,ORE,H,37,35,NA,2
2017,9,24,LSU,SYR,H,35,26,NA,2
2017,9,24,WKU,BALL,H,33,21,NA,2
2017,9,24,BUFF,FAU,H,34,31,NA,2
2017,9,24,MTSU,BGSU,H,24,13,NA,2
2017,9,24,SMU,ARST,H,44,21,NA,2
2017,9,24,WMU,WAG,H,49,14,NA,2
2017,9,24,RICE,FIU,H,7,13,NA,2
2017,9,24,SJSU,USU,H,10,61,NA,2
2017,9,24,TXST,UTSA,H,14,44,NA,2
2017,9,24,NMSU,UTEP,H,41,14,NA,2
2017,9,24,MEM,SIU,H,44,31,NA,2
2017,9,24,MSU,ND,H,18,38,NA,2
2017,9,24,WYO,HAW,H,28,21,1,2
2017,9,24,STAN,UCLA,H,58,34,NA,2
2017,9,24,CONN,ECU,H,38,41,NA,2
2017,9,22,TEM,USF,V,7,43,NA,2
2017,9,23,UTAH,ARIZ,V,30,24,NA,2
2017,9,23,UVA,BSU,V,42,23,NA,2
2017,9,23,ALA,VAN,V,59,0,NA,2
2017,9,23,BC,CLEM,V,7,34,NA,2
2017,9,23,OKLA,BAY,V,49,41,NA,2
2017,9,23,USC,CAL,V,30,20,NA,2
2017,9,23,TCU,OKST,V,44,31,NA,2
2017,9,23,MICH,PUR,V,28,10,NA,2
2017,9,23,UNLV,OSU,V,21,54,NA,2
2017,9,23,NCST,FSU,V,27,21,NA,2
2017,9,23,ODU,VT,V,0,38,NA,2
2017,9,23,TOL,MIAMI,V,30,52,NA,2
2017,9,23,NEV,WSU,V,7,45,NA,2
2017,9,23,KENT,LOU,V,3,42,NA,2
2017,9,23,TTU,HOU,V,27,24,NA,2
2017,9,23,ARMY,TULN,V,17,21,NA,2
2017,9,23,TA&M,ARK,V,50,43,1,2
2017,9,23,UMASS,TENN,V,13,17,NA,2
2017,9,23,WVU,KU,V,56,34,NA,2
2017,9,23,PITT,GT,V,17,35,NA,2
2017,9,23,UNM,TLSA,V,16,13,NA,2
2017,9,23,IDHO,USA,V,29,23,2,2
2017,9,23,OHIO,EMU,V,27,20,2,2
2017,9,23,UCF,MD,V,38,10,NA,2
2017,9,23,RUTG,NEB,V,17,27,NA,2
2017,9,23,GASO,IND,V,17,52,NA,2
2017,9,23,WAKE,APP,V,20,19,NA,2
2017,9,23,DUKE,UNC,V,27,17,NA,2
2017,9,23,LT,SC,V,16,17,NA,2
2017,9,23,M-OH,CMU,V,31,14,NA,2
2017,9,23,CIN,NAVY,V,32,42,NA,2
2017,9,23,ULM,ULL,V,56,50,2,2
2017,9,23,AKR,TROY,V,17,22,NA,2
2017,9,23,GAST,CHAR,V,28,0,NA,2
2017,9,23,WIU,CCU,V,52,10,NA,2
2017,9,23,UAB,UNT,V,43,46,NA,2
2017,9,24,PSU,IOWA,V,21,19,NA,2
2017,9,24,WASH,COLO,V,37,10,NA,2
2017,9,24,MSST,UGA,V,3,31,NA,2
2017,9,24,AUB,MIZ,V,51,14,NA,2
