year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2017,8,27,RICE,STAN,H,7,62,NA,2
2017,8,27,SJSU,USF,H,22,42,NA,2
2017,8,26,CSU,ORST,H,58,27,NA,2
2017,8,26,BYU,PRST,H,20,6,NA,2
2017,8,26,UMASS,HAW,H,35,38,NA,2
2017,9,1,IND,OSU,H,21,49,NA,2
2017,9,1,OKST,TLSA,H,59,24,NA,2
2017,9,1,CIN,PEAY,H,26,14,NA,2
2017,9,1,MINN,BUFF,H,17,7,NA,2
2017,9,1,GAST,TNST,H,10,17,NA,2
2017,9,1,TOL,ELON,H,47,13,NA,2
2017,9,1,CMU,URI,H,30,27,3,2
2017,9,1,CONN,HC,H,27,20,NA,2
2017,9,1,UTAH,UND,H,37,16,NA,2
2017,9,1,ARK,FAMU,H,49,7,NA,2
2017,9,1,IDHO,SAC,H,28,6,NA,2
2017,9,1,MEM,ULM,H,37,29,NA,2
2017,9,1,ASU,NMSU,H,37,31,NA,2
2017,9,1,ARMY,FOR,H,64,6,NA,2
2017,9,1,EMU,CHAR,H,24,7,NA,2
2017,8,31,UCF,FIU,H,61,17,NA,2
2017,8,31,WAKE,PRES,H,51,7,NA,2
2017,9,2,RUTG,WASH,H,14,30,NA,2
2017,9,2,WIS,USU,H,59,10,NA,2
2017,9,2,SYR,CCSU,H,50,7,NA,2
2017,9,2,FAU,NAVY,H,19,42,NA,2
2017,9,2,COLO,CSU,H,17,3,NA,2
2017,9,2,NIU,BC,H,20,23,NA,2
2017,9,2,USC,WMU,H,49,31,NA,2
2017,9,2,CLEM,KENT,H,56,3,NA,2
2017,9,2,PSU,AKR,H,52,0,NA,2
2017,9,2,OKLA,UTEP,H,56,7,NA,2
2017,9,2,FLA,MICH,H,17,33,NA,2
2017,9,2,UGA,APP,H,31,10,NA,2
2017,9,2,MIAMI,BCU,H,41,13,NA,2
2017,9,2,USF,STON,H,31,17,NA,2
2017,9,2,TEX,MD,H,41,51,NA,2
2017,9,2,ILL,BALL,H,24,21,NA,2
2017,9,2,IOWA,WYO,H,24,3,NA,2
2017,9,2,MSU,BGSU,H,35,10,NA,2
2017,9,2,MIZ,MOST,H,72,43,NA,2
2017,9,2,UNC,CAL,H,30,35,NA,2
2017,9,2,PITT,YSU,H,28,21,1,2
2017,9,2,ORST,PRST,H,35,32,NA,2
2017,9,2,AFA,VMI,H,62,0,NA,2
2017,9,2,SC,NCST,H,35,28,NA,2
2017,9,2,ND,TEM,H,49,16,NA,2
2017,9,2,NW,NEV,H,31,20,NA,2
2017,9,2,UVA,W&M,H,28,10,NA,2
2017,9,2,UAB,AAMU,H,38,7,NA,2
2017,9,2,BSU,TROY,H,24,13,NA,2
2017,9,2,TTU,EWU,H,56,10,NA,2
2017,9,2,USM,UK,H,17,24,NA,2
2017,9,2,MSST,CHSO,H,49,0,NA,2
2017,9,2,DUKE,NCCU,H,60,7,NA,2
2017,9,2,ECU,JMU,H,14,34,NA,2
2017,9,2,ODU,ALBY,H,31,17,NA,2
2017,9,2,MRSH,M-OH,H,31,26,NA,2
2017,9,3,ALA,FSU,H,24,7,NA,2
2017,9,3,AUB,GASO,H,41,7,NA,2
2017,9,3,LSU,BYU,H,27,0,NA,2
2017,9,3,PUR,LOU,H,28,35,NA,2
2017,9,3,KSU,UCA,H,55,19,NA,2
2017,9,3,WSU,MTST,H,31,0,NA,2
2017,9,3,UNT,LAM,H,59,14,NA,2
2017,9,3,WKU,EKY,H,31,17,NA,2
2017,9,3,LT,NWST,H,52,24,NA,2
2017,9,3,SMU,SFA,H,58,14,NA,2
2017,9,3,CCU,UMASS,H,38,28,NA,2
2017,9,3,BAY,LIB,H,45,48,NA,2
2017,9,3,KU,SEMO,H,38,16,NA,2
2017,9,3,OHIO,HAMP,H,59,0,NA,2
2017,9,3,ULL,SELA,H,51,48,NA,2
2017,9,3,TXST,HBU,H,20,11,NA,2
2017,9,3,MISS,USA,H,47,27,NA,2
2017,9,3,SJSU,CP,H,34,13,NA,2
2017,9,3,UNM,ACU,H,38,14,NA,2
2017,9,3,NEB,ARST,H,43,36,NA,2
2017,9,3,TCU,JKST,H,63,0,NA,2
2017,9,3,ISU,UNI,H,42,24,NA,2
2017,9,3,MTSU,VAN,H,6,28,NA,2
2017,9,3,TULN,GRAM,H,43,14,NA,2
2017,9,3,ORE,SUU,H,77,21,NA,2
2017,9,3,SDSU,UCD,H,38,17,NA,2
2017,9,3,UNLV,HOW,H,40,43,NA,2
2017,9,3,FRES,IW,H,66,0,NA,2
2017,9,3,ARIZ,NAU,H,62,24,NA,2
2017,9,3,HAW,WCU,H,41,18,NA,2
2017,9,4,VT,WVU,H,31,24,NA,2
2017,9,4,UCLA,TA&M,H,45,44,NA,2
2017,9,5,GT,TENN,H,41,42,NA,2
2017,8,27,STAN,RICE,V,62,7,NA,2
2017,8,27,USF,SJSU,V,42,22,NA,2
2017,8,26,ORST,CSU,V,27,58,NA,2
2017,8,26,PRST,BYU,V,6,20,NA,2
2017,8,26,HAW,UMASS,V,38,35,NA,2
2017,9,1,OSU,IND,V,49,21,NA,2
2017,9,1,TLSA,OKST,V,24,59,NA,2
2017,9,1,PEAY,CIN,V,14,26,NA,2
2017,9,1,BUFF,MINN,V,7,17,NA,2
2017,9,1,TNST,GAST,V,17,10,NA,2
2017,9,1,ELON,TOL,V,13,47,NA,2
2017,9,1,URI,CMU,V,27,30,NA,2
2017,9,1,HC,CONN,V,20,27,NA,2
2017,9,1,UND,UTAH,V,16,37,NA,2
2017,9,1,FAMU,ARK,V,7,49,NA,2
2017,9,1,SAC,IDHO,V,6,28,NA,2
2017,9,1,ULM,MEM,V,29,37,NA,2
2017,9,1,NMSU,ASU,V,31,37,NA,2
2017,9,1,FOR,ARMY,V,6,64,NA,2
2017,9,1,CHAR,EMU,V,7,24,NA,2
2017,8,31,FIU,UCF,V,17,61,NA,2
2017,8,31,PRES,WAKE,V,7,51,NA,2
2017,9,2,WASH,RUTG,V,30,14,NA,2
2017,9,2,USU,WIS,V,10,59,NA,2
2017,9,2,CCSU,SYR,V,7,50,NA,2
2017,9,2,NAVY,FAU,V,42,19,NA,2
2017,9,2,CSU,COLO,V,3,17,NA,2
2017,9,2,BC,NIU,V,23,20,NA,2
2017,9,2,WMU,USC,V,31,49,NA,2
2017,9,2,KENT,CLEM,V,3,56,NA,2
2017,9,2,AKR,PSU,V,0,52,NA,2
2017,9,2,UTEP,OKLA,V,7,56,NA,2
2017,9,2,MICH,FLA,V,33,17,NA,2
2017,9,2,APP,UGA,V,10,31,NA,2
2017,9,2,BCU,MIAMI,V,13,41,NA,2
2017,9,2,STON,USF,V,17,31,NA,2
2017,9,2,MD,TEX,V,51,41,NA,2
2017,9,2,BALL,ILL,V,21,24,NA,2
2017,9,2,WYO,IOWA,V,3,24,NA,2
2017,9,2,BGSU,MSU,V,10,35,NA,2
2017,9,2,MOST,MIZ,V,43,72,NA,2
2017,9,2,CAL,UNC,V,35,30,NA,2
2017,9,2,YSU,PITT,V,21,28,NA,2
2017,9,2,PRST,ORST,V,32,35,NA,2
2017,9,2,VMI,AFA,V,0,62,NA,2
2017,9,2,NCST,SC,V,28,35,NA,2
2017,9,2,TEM,ND,V,16,49,NA,2
2017,9,2,NEV,NW,V,20,31,NA,2
2017,9,2,W&M,UVA,V,10,28,NA,2
2017,9,2,AAMU,UAB,V,7,38,NA,2
2017,9,2,TROY,BSU,V,13,24,NA,2
2017,9,2,EWU,TTU,V,10,56,NA,2
2017,9,2,UK,USM,V,24,17,NA,2
2017,9,2,CHSO,MSST,V,0,49,NA,2
2017,9,2,NCCU,DUKE,V,7,60,NA,2
2017,9,2,JMU,ECU,V,34,14,NA,2
2017,9,2,ALBY,ODU,V,17,31,NA,2
2017,9,2,M-OH,MRSH,V,26,31,NA,2
2017,9,3,FSU,ALA,V,7,24,NA,2
2017,9,3,GASO,AUB,V,7,41,NA,2
2017,9,3,BYU,LSU,V,0,27,NA,2
2017,9,3,LOU,PUR,V,35,28,NA,2
2017,9,3,UCA,KSU,V,19,55,NA,2
2017,9,3,MTST,WSU,V,0,31,NA,2
2017,9,3,LAM,UNT,V,14,59,NA,2
2017,9,3,EKY,WKU,V,17,31,NA,2
2017,9,3,NWST,LT,V,24,52,NA,2
2017,9,3,SFA,SMU,V,14,58,NA,2
2017,9,3,UMASS,CCU,V,28,38,NA,2
2017,9,3,LIB,BAY,V,48,45,NA,2
2017,9,3,SEMO,KU,V,16,38,NA,2
2017,9,3,HAMP,OHIO,V,0,59,NA,2
2017,9,3,SELA,ULL,V,48,51,NA,2
2017,9,3,HBU,TXST,V,11,20,NA,2
2017,9,3,USA,MISS,V,27,47,NA,2
2017,9,3,CP,SJSU,V,13,34,NA,2
