year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2017,10,5,GASO,ARST,H,25,43,NA,2
2017,10,6,NCST,LOU,H,39,25,NA,2
2017,10,7,CONN,MEM,H,31,70,NA,2
2017,10,7,BYU,BSU,H,7,24,NA,2
2017,10,7,CLEM,WAKE,H,28,14,NA,2
2017,10,7,OKLA,ISU,H,31,38,NA,2
2017,10,7,NW,PSU,H,7,31,NA,2
2017,10,7,VAN,UGA,H,14,45,NA,2
2017,10,7,TCU,WVU,H,31,24,NA,2
2017,10,7,OSU,MD,H,62,14,NA,2
2017,10,7,AUB,MISS,H,44,23,NA,2
2017,10,7,FSU,MIAMI,H,20,24,NA,2
2017,10,7,USC,ORST,H,38,10,NA,2
2017,10,7,UNC,ND,H,10,33,NA,2
2017,10,7,FLA,LSU,H,16,17,NA,2
2017,10,7,TULN,TLSA,H,62,28,NA,2
2017,10,7,ECU,TEM,H,10,34,NA,2
2017,10,7,TOL,EMU,H,20,15,NA,2
2017,10,7,IOWA,ILL,H,45,16,NA,2
2017,10,7,KU,TTU,H,19,65,NA,2
2017,10,7,UVA,DUKE,H,28,21,NA,2
2017,10,7,SYR,PITT,H,27,24,NA,2
2017,10,7,OHIO,CMU,H,23,26,NA,2
2017,10,7,M-OH,BGSU,H,29,37,NA,2
2017,10,7,TXST,ULM,H,27,45,NA,2
2017,10,7,MTSU,FIU,H,37,17,NA,2
2017,10,7,PUR,MINN,H,31,17,NA,2
2017,10,7,APP,NMSU,H,45,31,NA,2
2017,10,7,AKR,BALL,H,31,3,NA,2
2017,10,7,NAVY,AFA,H,48,45,NA,2
2017,10,7,NIU,KENT,H,24,3,NA,2
2017,10,7,BUFF,WMU,H,68,71,NA,2
2017,10,7,IND,CHSO,H,27,0,NA,2
2017,10,7,SC,ARK,H,48,22,NA,2
2017,10,7,UAB,LT,H,23,22,NA,2
2017,10,7,USU,CSU,H,14,27,NA,2
2017,10,7,IDHO,ULL,H,16,21,NA,2
2017,10,7,CHAR,MRSH,H,3,14,NA,2
2017,10,7,ODU,FAU,H,28,58,NA,2
2017,10,7,RICE,ARMY,H,12,49,NA,2
2017,10,7,CCU,GAST,H,21,27,NA,2
2017,10,8,TA&M,ALA,H,19,27,NA,2
2017,10,8,WASH,CAL,H,38,7,NA,2
2017,10,8,MICH,MSU,H,10,14,NA,2
2017,10,8,NEB,WIS,H,17,38,NA,2
2017,10,8,ORE,WSU,H,10,33,NA,2
2017,10,8,BC,VT,H,10,23,NA,2
2017,10,8,UNLV,SDSU,H,10,41,NA,2
2017,10,8,UTAH,STAN,H,20,23,NA,2
2017,10,8,CIN,UCF,H,23,51,NA,2
2017,10,8,HOU,SMU,H,35,22,NA,2
2017,10,8,TEX,KSU,H,40,34,2,2
2017,10,8,UTSA,USM,H,29,31,NA,2
2017,10,8,UK,MIZ,H,40,34,NA,2
2017,10,8,SJSU,FRES,H,10,27,NA,2
2017,10,8,UTEP,WKU,H,14,15,NA,2
2017,10,8,COLO,ARIZ,H,42,45,NA,2
2017,10,8,NEV,HAW,H,35,21,NA,2
2017,10,5,ARST,GASO,V,43,25,NA,2
2017,10,6,LOU,NCST,V,25,39,NA,2
2017,10,7,MEM,CONN,V,70,31,NA,2
2017,10,7,BSU,BYU,V,24,7,NA,2
2017,10,7,WAKE,CLEM,V,14,28,NA,2
2017,10,7,ISU,OKLA,V,38,31,NA,2
2017,10,7,PSU,NW,V,31,7,NA,2
2017,10,7,UGA,VAN,V,45,14,NA,2
2017,10,7,WVU,TCU,V,24,31,NA,2
2017,10,7,MD,OSU,V,14,62,NA,2
2017,10,7,MISS,AUB,V,23,44,NA,2
2017,10,7,MIAMI,FSU,V,24,20,NA,2
2017,10,7,ORST,USC,V,10,38,NA,2
2017,10,7,ND,UNC,V,33,10,NA,2
2017,10,7,LSU,FLA,V,17,16,NA,2
2017,10,7,TLSA,TULN,V,28,62,NA,2
2017,10,7,TEM,ECU,V,34,10,NA,2
2017,10,7,EMU,TOL,V,15,20,NA,2
2017,10,7,ILL,IOWA,V,16,45,NA,2
2017,10,7,TTU,KU,V,65,19,NA,2
2017,10,7,DUKE,UVA,V,21,28,NA,2
2017,10,7,PITT,SYR,V,24,27,NA,2
2017,10,7,CMU,OHIO,V,26,23,NA,2
2017,10,7,BGSU,M-OH,V,37,29,NA,2
2017,10,7,ULM,TXST,V,45,27,NA,2
2017,10,7,FIU,MTSU,V,17,37,NA,2
2017,10,7,MINN,PUR,V,17,31,NA,2
2017,10,7,NMSU,APP,V,31,45,NA,2
2017,10,7,BALL,AKR,V,3,31,NA,2
2017,10,7,AFA,NAVY,V,45,48,NA,2
2017,10,7,KENT,NIU,V,3,24,NA,2
2017,10,7,WMU,BUFF,V,71,68,NA,2
2017,10,7,CHSO,IND,V,0,27,NA,2
2017,10,7,ARK,SC,V,22,48,NA,2
2017,10,7,LT,UAB,V,22,23,NA,2
2017,10,7,CSU,USU,V,27,14,NA,2
2017,10,7,ULL,IDHO,V,21,16,NA,2
2017,10,7,MRSH,CHAR,V,14,3,NA,2
2017,10,7,FAU,ODU,V,58,28,NA,2
2017,10,7,ARMY,RICE,V,49,12,NA,2
2017,10,7,GAST,CCU,V,27,21,NA,2
2017,10,8,ALA,TA&M,V,27,19,NA,2
2017,10,8,CAL,WASH,V,7,38,NA,2
2017,10,8,MSU,MICH,V,14,10,NA,2
2017,10,8,WIS,NEB,V,38,17,NA,2
2017,10,8,WSU,ORE,V,33,10,NA,2
2017,10,8,VT,BC,V,23,10,NA,2
2017,10,8,SDSU,UNLV,V,41,10,NA,2
2017,10,8,STAN,UTAH,V,23,20,NA,2
2017,10,8,UCF,CIN,V,51,23,NA,2
2017,10,8,SMU,HOU,V,22,35,NA,2
2017,10,8,KSU,TEX,V,34,40,2,2
2017,10,8,USM,UTSA,V,31,29,NA,2
2017,10,8,MIZ,UK,V,34,40,NA,2
2017,10,8,FRES,SJSU,V,27,10,NA,2
2017,10,8,WKU,UTEP,V,15,14,NA,2
2017,10,8,ARIZ,COLO,V,45,42,NA,2
2017,10,8,HAW,NEV,V,21,35,NA,2
