year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2018,9,12,CAMP,CCU,H,21,58,NA,2
2018,9,13,SFU,RICH,H,27,35,NA,2
2018,9,14,JMU,RMU,H,73,7,NA,2
2018,9,14,DAV,GUI,H,91,61,NA,2
2018,9,14,USU,TNTC,H,73,12,NA,2
2018,9,14,VMI,ETSU,H,24,27,NA,2
2018,9,14,WEBB,WCU,H,10,28,NA,2
2018,9,15,CP,BRWN,H,44,15,NA,2
2018,9,15,STAN,UCD,H,30,10,NA,2
2018,9,15,HARV,USD,H,36,14,NA,2
2018,9,15,UCONN,URI,H,56,49,NA,2
2018,9,15,UK,MURR,H,48,10,NA,2
2018,9,15,DUQ,DAY,H,31,26,NA,2
2018,9,15,HC,YALE,H,31,28,1,2
2018,9,15,DART,GTWN,H,41,0,NA,2
2018,9,15,DRKE,S&T,H,52,12,NA,2
2018,9,15,YSU,VALP,H,42,7,NA,2
2018,9,15,MOST,NAU,H,40,8,NA,2
2018,9,15,SAM,MER,H,24,30,NA,2
2018,9,15,MTST,WAG,H,47,24,NA,2
2018,9,15,PENN,BUCK,H,34,17,NA,2
2018,9,15,DEL,COR,H,27,10,NA,2
2018,9,15,NDSU,NOR,H,38,7,NA,2
2018,9,15,NOVA,TOWS,H,35,45,NA,2
2018,9,15,NAVY,LEH,H,51,21,NA,2
2018,9,15,BGSU,EKY,H,42,35,NA,2
2018,9,15,WYO,WOF,H,17,14,NA,2
2018,9,15,UNCO,SAC,H,25,28,NA,2
2018,9,15,WIU,MONT,H,31,27,NA,2
2018,9,15,UTM,CHAT,H,24,34,NA,2
2018,9,15,KENN,ALST,H,62,13,NA,2
2018,9,15,FAMU,JKST,H,16,18,NA,2
2018,9,15,COLO,UNH,H,45,14,NA,2
2018,9,15,CCSU,CLMB,H,24,41,NA,2
2018,9,15,PRST,COI,H,63,14,NA,2
2018,9,15,BRY,MRST,H,37,27,NA,2
2018,9,15,LAF,MONM,H,20,24,NA,2
2018,9,15,MORE,PEAY,H,40,78,NA,2
2018,9,15,BUT,PRIN,H,7,50,NA,2
2018,9,15,FOR,STON,H,6,28,NA,2
2018,9,15,FAU,BCU,H,49,28,NA,2
2018,9,15,CAL,IDST,H,45,23,NA,2
2018,9,16,WMU,DSU,H,68,0,NA,2
2018,9,16,CIN,AAMU,H,63,7,NA,2
2018,9,16,ALBY,MORG,H,30,27,NA,2
2018,9,16,MCNS,NICH,H,20,10,NA,2
2018,9,16,SHSU,UND,H,23,24,NA,2
2018,9,16,IW,SFA,H,31,7,NA,2
2018,9,16,LAM,NWST,H,48,49,NA,2
2018,9,16,EIU,INST,H,41,55,NA,2
2018,9,16,HBU,ACU,H,13,38,NA,2
2018,9,16,SDSU,UAPB,H,90,6,NA,2
2018,9,16,SIU,SEMO,H,44,48,NA,2
2018,9,16,SOU,LAN,H,33,18,NA,2
2018,9,16,ALCN,TXSO,H,27,15,NA,2
2018,9,16,IOWA,UNI,H,38,14,NA,2
2018,9,16,WSU,EWU,H,59,24,NA,2
2018,9,16,SELA,UCA,H,25,33,NA,2
2018,9,16,WEB,SDAK,H,27,10,NA,2
2018,9,16,UNLV,PVAM,H,46,17,NA,2
2018,9,16,ARIZ,SUU,H,62,31,NA,2
2018,9,12,CCU,CAMP,V,58,21,NA,2
2018,9,13,RICH,SFU,V,35,27,NA,2
2018,9,14,RMU,JMU,V,7,73,NA,2
2018,9,14,GUI,DAV,V,61,91,NA,2
2018,9,14,TNTC,USU,V,12,73,NA,2
2018,9,14,ETSU,VMI,V,27,24,NA,2
2018,9,14,WCU,WEBB,V,28,10,NA,2
2018,9,15,BRWN,CP,V,15,44,NA,2
2018,9,15,UCD,STAN,V,10,30,NA,2
2018,9,15,USD,HARV,V,14,36,NA,2
2018,9,15,URI,UCONN,V,49,56,NA,2
2018,9,15,MURR,UK,V,10,48,NA,2
2018,9,15,DAY,DUQ,V,26,31,NA,2
2018,9,15,YALE,HC,V,28,31,1,2
2018,9,15,GTWN,DART,V,0,41,NA,2
2018,9,15,S&T,DRKE,V,12,52,NA,2
2018,9,15,VALP,YSU,V,7,42,NA,2
2018,9,15,NAU,MOST,V,8,40,NA,2
2018,9,15,MER,SAM,V,30,24,NA,2
2018,9,15,WAG,MTST,V,24,47,NA,2
2018,9,15,BUCK,PENN,V,17,34,NA,2
2018,9,15,COR,DEL,V,10,27,NA,2
2018,9,15,NOR,NDSU,V,7,38,NA,2
2018,9,15,TOWS,NOVA,V,45,35,NA,2
2018,9,15,LEH,NAVY,V,21,51,NA,2
2018,9,15,EKY,BGSU,V,35,42,NA,2
2018,9,15,WOF,WYO,V,14,17,NA,2
2018,9,15,SAC,UNCO,V,28,25,NA,2
2018,9,15,MONT,WIU,V,27,31,NA,2
2018,9,15,CHAT,UTM,V,34,24,NA,2
2018,9,15,ALST,KENN,V,13,62,NA,2
2018,9,15,JKST,FAMU,V,18,16,NA,2
2018,9,15,UNH,COLO,V,14,45,NA,2
2018,9,15,CLMB,CCSU,V,41,24,NA,2
2018,9,15,COI,PRST,V,14,63,NA,2
2018,9,15,MRST,BRY,V,27,37,NA,2
2018,9,15,MONM,LAF,V,24,20,NA,2
2018,9,15,PEAY,MORE,V,78,40,NA,2
2018,9,15,PRIN,BUT,V,50,7,NA,2
2018,9,15,STON,FOR,V,28,6,NA,2
2018,9,15,BCU,FAU,V,28,49,NA,2
2018,9,15,IDST,CAL,V,23,45,NA,2
2018,9,16,DSU,WMU,V,0,68,NA,2
2018,9,16,AAMU,CIN,V,7,63,NA,2
2018,9,16,MORG,ALBY,V,27,30,NA,2
2018,9,16,NICH,MCNS,V,10,20,NA,2
2018,9,16,UND,SHSU,V,24,23,NA,2
2018,9,16,SFA,IW,V,7,31,NA,2
2018,9,16,NWST,LAM,V,49,48,NA,2
2018,9,16,INST,EIU,V,55,41,NA,2
2018,9,16,ACU,HBU,V,38,13,NA,2
